"","logFC","logCPM","LR","PValue","FDR"
"ADM2",-0.107378831331556,5.73280753161445,1.38634571017585,0.239023192331777,0.99083117613231
"UBE2N",0.0951504969250492,6.54027416113416,1.38474034439895,0.239295341655122,0.99083117613231
"PDGFRL",0.210922773014429,2.83676600102299,1.38458701947314,0.239321353717131,0.99083117613231
"SIDT2",-0.148281451265504,4.47392880853641,1.38411634068463,0.23940122733071,0.99083117613231
"FJX1",-0.144081694332016,5.02614496603379,1.38402888770923,0.239416071560502,0.99083117613231
"GABARAPL1",0.0940932717721454,7.88613609689024,1.38344918987926,0.239514497492373,0.99083117613231
"MEGF8",-0.160684700045366,3.85741578776209,1.38332097193034,0.239536274043239,0.99083117613231
"PLEK2",0.145111113121291,4.33085802547603,1.38330103482618,0.239539660379336,0.99083117613231
"ANKFY1",-0.110917224536991,6.39210753334607,1.38329279316454,0.239541060250392,0.99083117613231
"LOC100507506",-0.367838562473134,0.21022720060876,1.38287469228683,0.239612088987221,0.99083117613231
"ZNF212",-0.136970983162304,4.24982294460956,1.38269435382713,0.239642733542514,0.99083117613231
"PRDM2",0.137542866000932,4.47657691399535,1.38260456327391,0.239657993248087,0.99083117613231
"RAB11A",0.0983293213019966,6.54508484391549,1.38227962233969,0.239713226108082,0.99083117613231
"ZNF611",-0.27007892746192,1.77843404650303,1.38114631779775,0.2399059842104,0.99083117613231
"MSC",0.119275491787752,5.358821948947,1.38095343764894,0.23993880898454,0.99083117613231
"RBM15B",-0.0878649202253925,7.47939140415718,1.38094838104088,0.239939669602804,0.99083117613231
"MYH3",0.32074661983297,1.47443908383611,1.38069733066818,0.239982402277872,0.99083117613231
"DENND6B",-0.567854561824327,-0.239256280653404,1.38059724486645,0.239999441015563,0.99083117613231
"MANF",0.138455869543767,9.17215541117461,1.38051462704061,0.240013507090009,0.99083117613231
"PLEKHA5",-0.111305021449428,4.91903978408007,1.37970009346629,0.240152238923703,0.99083117613231
"WDR12",0.094844139063686,6.09007653351125,1.37967039363054,0.240157299258601,0.99083117613231
"HECTD1",-0.0969040792457024,7.90012386823861,1.37890476087437,0.240287794500844,0.99083117613231
"SLC45A4",-0.168840474155174,4.15388067720841,1.37878985906721,0.240307385922336,0.99083117613231
"CPEB4",-0.100354424690732,7.95962422976763,1.37866777299719,0.240328204430028,0.99083117613231
"USP6NL",-0.141497542248583,4.77745820719981,1.37699830206049,0.24061310809764,0.99083117613231
"ZDHHC9",-0.0969493440254929,5.9132562888091,1.3765181835313,0.240695118782848,0.99083117613231
"HRH1",-0.126338435213007,4.63901039943446,1.37634102162165,0.240725388999311,0.99083117613231
"FAM110A",-0.207763705079775,2.58108932495804,1.37615572054427,0.240757054843117,0.99083117613231
"LIN7C",0.108279071677488,5.12652592981533,1.37493356460426,0.240966034324561,0.99083117613231
"ATXN2L",-0.095507506402213,8.32244911851667,1.37461169239593,0.241021108756426,0.99083117613231
"MLLT6",-0.147817711960755,5.09967042291236,1.37411505122319,0.241106117342105,0.99083117613231
